"","X","Filename","Noun","Tone","SentenceType","Speaker","Label","vowelOnsetF0","midpointF0","vowelOffsetF0","SlopeF0","base.line","Midpoint_ST","V_offset_ST","V_onset_ST","Slope_ST"
"3809",2434,"mosquitonet-F_H-Chol-1","mosquitonet","L","F_H","Chol","n",163.4,148.7,143.6,19.8,124.3174,3.10052,2.49633,4.73256,2.23623
"3829",2554,"mother-F_H-Chol-1","mother","HL","F_H","Chol","n",187.7,161.2,141.2,46.5,124.3174,4.49788,2.20454,7.1328,4.92826
"3849",2674,"my_mother-F_H-Chol-1","my_mother","HL","F_H","Chol","n",189.3,165.9,152.3,37,124.3174,4.99543,3.51465,7.27975,3.7651
"3869",2794,"peace-F_H-Chol-1","peace","HL","F_H","Chol","n",202.4,174.5,151,51.4,124.3174,5.87039,3.36624,8.43817,5.07193
"3889",3009,"relationship-F_H-Chol-1","relationship","L","F_H","Chol","n",156,152.1,150.4,5.6,124.3174,3.4919,3.29732,3.93021,0.6329
"3909",3129,"river_stone-F_H-Chol-1","river_stone","HL","F_H","Chol","n",195.6,165.5,144.4,51.2,124.3174,4.95364,2.59251,7.84654,5.25403
"3924",3244,"shaking-F_H-Chol-1","shaking","L","F_H","Chol","n",168.9,156.6,148.7,20.2,124.3174,3.99667,3.10052,5.30569,2.20518
"3944",3364,"sheep_dung-F_H-Chol-1","sheep_dung","HL","F_H","Chol","n",188.5,165.9,151.3,37.2,124.3174,4.99543,3.40061,7.20644,3.80583
"3964",3579,"thief-F_H-Chol-1","thief","H","F_H","Chol","n",232.2,225,215.4,16.8,124.3174,10.27076,9.51588,10.81608,1.3002
"3984",3789,"uncle-F_H-Chol-2","uncle","H","F_H","Chol","n",239.3,241.2,231.1,8.2,124.3174,11.47442,10.73387,11.33751,0.60364
"4004",3909,"wave-F_H-Chol-1","wave","HL","F_H","Chol","n",185.7,168.2,151,34.7,124.3174,5.23379,3.36624,6.94735,3.5811
